Date,AAPL,GOOGL,MSFT
2023-12-13,196.52084350585938,131.77969360351562,370.1681213378906
2023-12-14,196.66976928710938,131.15342712402344,361.8228454589844
2023-12-15,196.13368225097656,131.8094940185547,366.5690002441406
2023-12-18,194.46591186523438,134.9904022216797,368.4674072265625
2023-12-19,195.5082550048828,135.83534240722656,369.070556640625
2023-12-20,193.4136199951172,137.51528930664062,366.46014404296875
2023-12-21,193.2646942138672,139.58287048339844,369.347412109375
2023-12-22,192.19256591796875,140.64649963378906,370.3757629394531
2023-12-26,191.64654541015625,140.67633056640625,370.4548645019531
2023-12-27,191.7458038330078,139.53317260742188,369.8714904785156
2023-12-28,192.1726837158203,139.39401245117188,371.0679016113281
2023-12-29,191.13034057617188,138.8572235107422,371.81939697265625
2024-01-02,184.2904510498047,137.3462677001953,366.7073669433594
2024-01-03,182.9105224609375,138.091796875,366.4404602050781
2024-01-04,180.58753967285156,135.576904296875,363.8102722167969
2024-01-05,179.86285400390625,134.92083740234375,363.6224060058594
2024-01-08,184.2110137939453,138.0122833251953,370.4845275878906
2024-01-09,183.79405212402344,140.10972595214844,371.57220458984375
2024-01-10,184.83642578125,141.43179321289062,378.47381591796875
2024-01-11,184.2407684326172,141.2329864501953,380.3129577636719
2024-01-12,184.56837463378906,141.799560546875,384.10986328125
2024-01-16,182.29502868652344,141.64053344726562,385.8896484375
2024-01-17,181.3519287109375,140.62661743164062,385.0986328125
2024-01-18,187.2586669921875,142.6246337890625,389.4492492675781
2024-01-19,190.16737365722656,145.50735473632812,394.19537353515625
2024-01-22,192.48045349121094,145.1196746826172,392.0596618652344
2024-01-23,193.76107788085938,146.16342163085938,394.42279052734375
2024-01-24,193.08599853515625,147.81349182128906,398.04168701171875
2024-01-25,192.75840759277344,150.96461486816406,400.3258056640625
2024-01-26,191.02113342285156,151.28271484375,399.3963317871094
2024-01-29,190.3361358642578,152.59483337402344,405.121337890625
2024-01-30,186.67295837402344,150.55706787109375,404.0040283203125
2024-01-31,183.05941772460938,139.26478576660156,393.11761474609375
2024-02-01,185.5015411376953,140.31846618652344,399.2480163574219
2024-02-02,184.4989013671875,141.53118896484375,406.6045227050781
2024-02-05,186.31558227539062,142.82342529296875,401.0970153808594
2024-02-06,187.923828125,143.24095153808594,400.93878173828125
2024-02-07,188.0330047607422,144.67234802246094,409.4027099609375
2024-02-08,186.95095825195312,145.04014587402344,409.4620361328125
